"COUNTRY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"South Korea",2005,50,0.0911912161002166,NA,NA,NA,NA
"South Korea",2006,50,0.0996177317420797,2005,0.0911912161002166,0.0924049047948065,0.00842651564186314
"South Korea",2007,50,0.111351335302254,2006,0.0996177317420797,0.117786295220547,0.0117336035601739
"South Korea",2008,50,0.106874703801921,2007,0.111351335302254,-0.0402027644139263,-0.00447663150033262
"South Korea",2009,50,0.0804524120079019,2008,0.106874703801921,-0.247226807224557,-0.0264222917940191
"South Korea",2010,50,0.0796508957311047,2009,0.0804524120079019,-0.00996261338589137,-0.000801516276797171
"South Korea",2011,50,0.0666064294690319,2010,0.0796508957311047,-0.163770490492786,-0.0130444662620728
"South Korea",2012,50,0.0663154009420024,2011,0.0666064294690319,-0.00436937588982798,-0.000291028527029516
"South Korea",2013,50,0.0795237687186847,2012,0.0663154009420024,0.199174966735614,0.0132083677766823
"South Korea",2014,50,0.0361149468823183,2013,0.0795237687186847,-0.545859716356314,-0.0434088218363664
"South Korea",2015,50,0.0731795666927916,2014,0.0361149468823183,1.02629584175354,0.0370646198104733
"South Korea",2016,50,0.059936076310378,2015,0.0731795666927916,-0.180972517069005,-0.0132434903824136
"South Korea",2017,50,0.059073172306962,2016,0.059936076310378,-0.0143970719562538,-0.000862904003416029
"South Korea",2018,50,0.0598302397742496,2017,0.059073172306962,0.0128157577750126,0.000757067467287605
"South Korea",2019,50,0.0275142767768554,2018,0.0598302397742496,-0.540127586306327,-0.0323159629973942
"South Korea",2020,2,0.100880802564678,2019,0.0275142767768554,2.66648934234525,0.0733665257878224
"South Korea",2020,20,0.0810070912475171,2020,0.100880802564678,-0.197001915249623,-0.0198737113171606
"South Korea",2020,50,0.0475241034935397,2020,0.0810070912475171,-0.413334033333825,-0.0334829877539775
"South Korea",2020,200,0.0577588558530965,2020,0.0475241034935397,0.215359188436834,0.0102347523595568
"Syria",2005,50,0.0805313264093314,NA,NA,NA,NA
"Syria",2006,50,0.0837805875549434,2005,0.0805313264093314,0.0403477912321519,0.00324926114561198
"Syria",2007,50,0.0923178152798366,2006,0.0837805875549434,0.101899831142799,0.00853722772489322
"Syria",2008,50,0.0952157063276973,2007,0.0923178152798366,0.0313903772427511,0.00289789104786069
"Syria",2009,50,0.090887595072733,2008,0.0952157063276973,-0.045455854101093,-0.00432811125496432
"Syria",2010,50,0.103855300634173,2009,0.090887595072733,0.142678498105961,0.0129677055614403
"Syria",2011,50,0.093814169404347,2010,0.103855300634173,-0.0966838588739512,-0.0100411312298262
"Syria",2012,50,0.0630546417338688,2011,0.093814169404347,-0.327877205178911,-0.0307595276704783
"Syria",2013,50,0.0698633619973316,2012,0.0630546417338688,0.107981269518587,0.00680872026346285
"Syria",2014,50,0.0652010315676502,2013,0.0698633619973316,-0.0667349852109824,-0.00466233042968144
