"COUNTRY","SOURCETY","year","radius_km","value","year.lag","value.lag","diff_yoy","diff_yoy_absolute"
"Indonesia","Coal",2018,50,0.132198993957979,2017,0.103462791993837,0.277744311847432,0.0287362019641422
"Indonesia","Coal",2019,50,0.143550255531098,2018,0.132198993957979,0.0858649618523363,0.0113512615731191
"Indonesia","Coal",2020,2,0.0753860173863359,2019,0.143550255531098,-0.474845815443327,-0.0681642381447623
"Indonesia","Coal",2020,20,0.0645615990069928,2020,0.0753860173863359,-0.143586552979321,-0.0108244183793431
"Indonesia","Coal",2020,50,0.124536287456942,2020,0.0645615990069928,0.92895295922664,0.0599746884499496
"Indonesia","Coal",2020,200,0.0299182056628619,2020,0.124536287456942,-0.759763147964356,-0.0946180817940805
"Indonesia","Smelter",2005,50,0.0306978412102113,NA,NA,NA,NA
"Indonesia","Smelter",2006,50,0.0364096945157034,2005,0.0306978412102113,0.186066937618799,0.00571185330549217
"Indonesia","Smelter",2007,50,0.0163397449761963,2006,0.0364096945157034,-0.551225430656963,-0.0200699495395071
"Indonesia","Smelter",2008,50,0.0206512977292519,2007,0.0163397449761963,0.263869035859286,0.00431155275305554
"Indonesia","Smelter",2009,50,0.0201433985052152,2008,0.0206512977292519,-0.0245940584797831,-0.000507899224036632
"Indonesia","Smelter",2010,50,0.0329185070352388,2009,0.0201433985052152,0.634208201099534,0.0127751085300236
"Indonesia","Smelter",2011,50,0.0201183544011915,2010,0.0329185070352388,-0.388843656255276,-0.0128001526340473
"Indonesia","Smelter",2012,50,0.033025625533738,2011,0.0201183544011915,0.641566943058824,0.0129072711325465
"Indonesia","Smelter",2013,50,0.0328722924013087,2012,0.033025625533738,-0.00464285323748537,-0.000153333132429295
"Indonesia","Smelter",2014,50,0.0451618341915909,2013,0.0328722924013087,0.373857157275495,0.0122895417902821
"Indonesia","Smelter",2015,50,0.0339268662601108,2014,0.0451618341915909,-0.248771294004972,-0.0112349679314801
"Indonesia","Smelter",2016,50,0.0388777352979505,2015,0.0339268662601108,0.145927684563682,0.00495086903783969
"Indonesia","Smelter",2017,50,0.0229700884405066,2016,0.0388777352979505,-0.409171129324565,-0.0159076468574439
"Indonesia","Smelter",2018,50,0.0324381873969352,2017,0.0229700884405066,0.412192533822905,0.00946809895642865
"Indonesia","Smelter",2019,50,0.0325377746705906,2018,0.0324381873969352,0.00307006283787364,9.95872736553119e-05
"Indonesia","Smelter",2020,2,-0.03000000230968,2019,0.0325377746705906,-1.92200534957898,-0.0625377769802705
"Indonesia","Smelter",2020,20,-0.03000000230968,2020,-0.03000000230968,0,0
"Indonesia","Smelter",2020,50,0.033156925482347,2020,-0.03000000230968,-2.10523076432059,0.063156927792027
"Indonesia","Smelter",2020,200,0.00425930755551852,2020,0.033156925482347,-0.871540937720953,-0.0288976179268285
"Iran","Coal",2005,50,0.157038082983624,NA,NA,NA,NA
"Iran","Coal",2006,50,0.185660473317987,2005,0.157038082983624,0.182264007497773,0.0286223903343632
